Component 0:
	Bin	Loading/Weight
	5592:5799,13878:14085	0.5945063738756831
	9735:9942,15949:16156	0.42146611671404605
	6214:6421,13878:14085	0.40380155611460666
	5799:6006,13878:14085	0.23787759801658348
	7871:8078,15949:16156	0.20762459660933993
	10149:10356,15949:16156	0.1772431741755413
	9114:9321,15949:16156	0.12756315068380922
	7664:7871,15949:16156	0.12277696800278486
	10564:10771,15949:16156	0.11348801641709386
	8699:8906,15949:16156	0.08529488163897499
	9528:9735,15949:16156	0.07448662185060262
	6006:6214,13256:13463	0.07250058770399709
	8906:9114,15949:16156	0.0676609586195381
	6421:6628,15949:16156	0.059683577565379974
	10771:10978,15949:16156	0.05860913152903331
	5592:5799,13049:13256	0.05575109395393378
	9321:9528,15949:16156	0.05520930209891678
	5799:6006,12221:12428	0.05350026383188366
	11392:11599,15949:16156	0.05329405983687777
	7042:7249,15949:16156	0.05112621071711095
	5592:5799,12221:12428	0.04775940294489688
	10356:10564,15949:16156	0.04687211574240328
	11185:11392,15949:16156	0.04576084168673041
	11806:12013,15949:16156	0.04118563469154257
	6006:6214,13049:13256	0.03936361147939199
	5799:6006,11392:11599	0.03830646909584619
	8285:8492,13256:13463	0.03816150898698389
	7456:7664,14292:14499	0.03770088603896582
	828:1035,207:414	-0.036553205777421785
	6006:6214,14085:14292	0.036339501950223625
	6006:6214,13878:14085	0.034832544011483994
	11185:11392,13463:13671	0.033781436941716585
	8285:8492,15949:16156	0.03372494829756441
	10978:11185,15121:15328	-0.03342017725380156
	8078:8285,15949:16156	0.03289901133031168
	7249:7456,15949:16156	0.03283297261530748
	5592:5799,13463:13671	0.03156158346269234
	12013:12221,15949:16156	0.03150819509058691
	7871:8078,15328:15535	0.03127068261779538
	207:414,207:414	0.03072087525381464
	5799:6006,11185:11392	0.030293485275174434
	15949:16156,16156:16363	-0.0291835680270307
	6835:7042,15535:15742	0.029081052006834442
	1449:1657,5178:5385	0.02749913418306188
	9321:9528,15535:15742	0.027282562370989867
	10356:10564,14499:14706	0.026984909954641628
	6006:6214,15949:16156	0.0269071495058807
	11599:11806,15949:16156	0.02629383434845389
	8492:8699,15949:16156	0.025586129374071943
	5592:5799,14499:14706	0.02539426071669738
	5592:5799,11599:11806	0.02503984089441189
	5592:5799,13256:13463	0.023794973473711817
	6835:7042,13463:13671	0.023688850189989577
	13049:13256,15949:16156	0.023416555499379415
	6835:7042,15121:15328	0.023369058488331974
	414:621,3107:3314	-0.023215177780652695
	5592:5799,13671:13878	0.02275551805322405
	6421:6628,13671:13878	0.022069230735207498
	11185:11392,15328:15535	-0.021938704070557504
	6006:6214,12635:12842	0.021697361030632373
	414:621,4349:4557	-0.020981152625579716
	414:621,207:414	0.020858251226585023
	7664:7871,13878:14085	0.020476056392810565
	10771:10978,14706:14913	0.020402282000472984
	12221:12428,15949:16156	0.020325515317874798
	6421:6628,14706:14913	0.020168952569696044
	6006:6214,12221:12428	0.019777095490253502
	6421:6628,14085:14292	0.01958257982937136
	12221:12428,12428:12635	-0.019548117401324352
	10564:10771,14085:14292	0.019501353646128552
	5592:5799,11392:11599	0.01939314246618528
	13878:14085,14292:14499	-0.018723733021841906
	5799:6006,13049:13256	0.018284808989895773
	5592:5799,12635:12842	0.01816880208452036
	5799:6006,12635:12842	0.017681353206260776
	10978:11185,15949:16156	0.01765411449411985
	14292:14499,13878:14085	-0.0175590157139974
	5799:6006,13463:13671	0.01720922853925648
	9528:9735,15742:15949	0.01713020898001988
	7871:8078,15121:15328	0.017012981537119852
	7042:7249,15328:15535	0.016926389064550903
	5592:5799,10564:10771	0.016847762327116444
	9321:9528,14706:14913	0.01683386748284929
	8492:8699,10564:10771	-0.016735268281002993
	7664:7871,14499:14706	0.016271595421430793
	9942:10149,15535:15742	0.01615530913052078
	5799:6006,12428:12635	0.016096230928019997
	5592:5799,11806:12013	0.01602177717362297
	6006:6214,12428:12635	0.01599800206845803
	14913:15121,11599:11806	-0.015759650358179358
	9942:10149,15949:16156	0.015707239298721924
	6421:6628,13878:14085	0.015678810747899792
	7249:7456,15121:15328	0.015601347253427636
	13671:13878,15535:15742	-0.015366453841324087
	14913:15121,14292:14499	-0.015325318996442478
	7871:8078,14499:14706	0.015217974055954833
	5592:5799,10978:11185	0.015038936027443578
	9735:9942,14499:14706	0.01503400524417484
	13878:14085,10978:11185	-0.014996068652892242
	6835:7042,14913:15121	0.01493073420750234
	14706:14913,14292:14499	-0.014690845674472356
	6835:7042,13049:13256	0.014676702108620605
	6835:7042,15742:15949	0.014565939557087446
	8078:8285,15328:15535	0.014481380424660833
	5178:5385,13878:14085	-0.014079557081931704
	9114:9321,13049:13256	-0.01363147577840344
	7249:7456,15328:15535	0.01354898540130065
	6628:6835,13049:13256	0.013146420427755531
	10356:10564,15535:15742	0.012969127812892629
	7871:8078,15535:15742	0.012892805893159581
	11806:12013,11185:11392	-0.01280638192702504
	9735:9942,15535:15742	0.01275485326472297
	6421:6628,15535:15742	0.01274011241544967
	6835:7042,14292:14499	0.012642471749284399
	5799:6006,14085:14292	0.012634092066724804
	9321:9528,8906:9114	-0.012563003360587221
	13256:13463,8906:9114	-0.012479052822005688
	10149:10356,15742:15949	0.01234446257487951
	9321:9528,15328:15535	0.012313522472274371
	6628:6835,12635:12842	0.01227977573859945
	5385:5592,5592:5799	-0.012105241577483675
	3521:3728,16156:16363	-0.012046675724219157
	10149:10356,15535:15742	0.011991428640029809
	13256:13463,15121:15328	-0.011932818479024892
	5592:5799,10356:10564	0.011927702795008507
	5592:5799,14085:14292	0.011896342569789747
	5592:5799,12842:13049	0.011833292158677757
	8699:8906,13049:13256	0.011741083489430985
	10356:10564,15742:15949	0.011560604954198715
	6835:7042,14706:14913	0.01143009535683857
	12635:12842,15535:15742	0.0114135216199697
	6006:6214,13463:13671	0.011317524445919004
	9114:9321,15328:15535	0.01129425285672894
	6421:6628,12221:12428	0.011211837679091865
	5799:6006,13256:13463	0.011200606772415167
	13463:13671,15949:16156	0.011197303087176974
	5592:5799,12428:12635	0.01113814866024094
	5799:6006,14499:14706	0.011074387088985133
	8492:8699,11392:11599	-0.010929653412770914
	7871:8078,13878:14085	0.01075204151367351
	7664:7871,14706:14913	0.010731840345788028
	12842:13049,13878:14085	-0.010691206653728623
	6421:6628,12013:12221	-0.010649532126068948
	11599:11806,11185:11392	-0.010583907746836426
